source,employee_id,first_name,last_name,gender,date_of_birth,hire_date,salary,department,age
source_1_abbreviated,101,John,Doe,M,1990-01-15,2015-06-01,50000,IT,34
source_1_abbreviated,102,Jane,Smith,F,1992-03-22,2016-08-15,65000,HR,32
source_1_abbreviated,103,Bob,Johnson,M,1988-06-10,2014-03-20,55000,IT,36
source_1_abbreviated,104,Alice,Williams,F,1995-12-05,2017-01-10,72000,Finance,29
source_1_abbreviated,105,Charlie,Brown,M,1987-04-18,2018-07-05,48000,Sales,37
source_2_standard,201,Diana,Jones,F,1993-07-30,2015-11-18,68000,HR,31
source_2_standard,202,Eve,Garcia,F,1991-09-12,2019-02-14,52000,IT,33
source_2_standard,203,Frank,Miller,M,1989-02-28,2016-09-30,61000,Finance,35
source_2_standard,204,Grace,Davis,F,1994-11-08,2017-05-22,58000,Sales,30
source_2_standard,205,Henry,Rodriguez,M,1986-05-25,2015-12-01,70000,IT,38
source_3_mixed,1,John,Doe,M,1990-01-15,2015-06-01,50000,IT,34
source_3_mixed,2,Jane,Smith,F,1992-03-22,2016-08-15,65000,HR,32
source_3_mixed,3,Bob,Johnson,M,1988-06-10,2014-03-20,55000,IT,36
source_3_mixed,4,Alice,Williams,F,1995-12-05,2017-01-10,72000,Finance,29
source_3_mixed,5,Charlie,Brown,M,1987-04-18,2018-07-05,48000,Sales,37
source_3_mixed,6,Diana,Jones,F,1993-07-30,2015-11-18,68000,HR,31
source_3_mixed,7,Eve,Garcia,Unknown,1991-09-12,2019-02-14,52000,IT,33
source_3_mixed,8,Frank,Miller,M,1989-02-28,2016-09-30,61000,Finance,35
source_3_mixed,9,Grace,Davis,F,1994-11-08,2017-05-22,58000,Sales,30
source_3_mixed,10,Henry,Rodriguez,Unknown,1986-05-25,2015-12-01,70000,IT,38
source_4_sample,1,John,Doe,M,1990-01-15,2015-06-01,50000,IT,34
source_4_sample,2,Jane,Smith,F,1992-03-22,2016-08-15,65000,HR,32
source_4_sample,3,Bob,Johnson,M,1988-06-10,2014-03-20,55000,IT,36
source_4_sample,4,Alice,Williams,F,1995-12-05,2017-01-10,72000,Finance,29
source_4_sample,5,Charlie,Brown,M,1987-04-18,2018-07-05,48000,Sales,37
source_4_sample,6,Diana,Jones,F,1993-07-30,2015-11-18,68000,HR,31
source_4_sample,7,Eve,Garcia,Unknown,1991-09-12,2019-02-14,52000,IT,33
source_4_sample,8,Frank,Miller,M,1989-02-28,2016-09-30,61000,Finance,35
source_4_sample,9,Grace,Davis,F,1994-11-08,2017-05-22,58000,Sales,30
source_4_sample,10,Henry,Rodriguez,M,1986-05-25,2015-12-01,70000,IT,38
source_4_sample,11,Iris,Martinez,Unknown,1994-02-14,2018-01-15,54000,HR,32
source_4_sample,12,Jack,Hernandez,F,1991-08-20,2016-04-10,62000,Finance,34
source_4_sample,13,Karen,Lopez,F,1989-11-30,2017-09-05,59000,Sales,34
source_4_sample,14,Leo,Gonzalez,M,1993-05-10,2018-03-18,51000,IT,31
source_4_sample,15,Mia,Wilson,F,1996-07-22,2019-06-01,56000,HR,27
