employee_id,first_name,last_name,gender,date_of_birth,salary
101,John,Doe,M,1990-01-15,50000
102,Jane,Smith,F,1992-03-22,65000
103,Bob,Johnson,M,1988-06-10,55000
104,Alice,Williams,F,1995-12-05,72000
105,Charlie,Brown,M,1987-04-18,48000
201,Diana,Jones,F,1993-07-30,68000
202,Eve,Garcia,F,1991-09-12,52000
203,Frank,Miller,M,1989-02-28,61000
204,Grace,Davis,F,1994-11-08,58000
205,Henry,Rodriguez,M,1986-05-25,70000
1,John,Doe,M,1990-01-15,50000
2,Jane,Smith,F,1992-03-22,65000
3,Bob,Johnson,M,1988-06-10,55000
4,Alice,Williams,F,1995-12-05,72000
5,Charlie,Brown,M,1987-04-18,48000
6,Diana,Jones,F,1993-07-30,68000
7,Eve,Garcia,Unknown,1991-09-12,52000
8,Frank,Miller,M,1989-02-28,61000
9,Grace,Davis,F,1994-11-08,58000
10,Henry,Rodriguez,Unknown,1986-05-25,70000
1,John,Doe,M,1990-01-15,50000
2,Jane,Smith,F,1992-03-22,65000
3,Bob,Johnson,M,1988-06-10,55000
4,Alice,Williams,F,1995-12-05,72000
5,Charlie,Brown,M,1987-04-18,48000
6,Diana,Jones,F,1993-07-30,68000
7,Eve,Garcia,Unknown,1991-09-12,52000
8,Frank,Miller,M,1989-02-28,61000
9,Grace,Davis,F,1994-11-08,58000
10,Henry,Rodriguez,M,1986-05-25,70000
11,Iris,Martinez,Unknown,1994-02-14,54000
12,Jack,Hernandez,F,1991-08-20,62000
13,Karen,Lopez,F,1989-11-30,59000
14,Leo,Gonzalez,M,1993-05-10,51000
15,Mia,Wilson,F,1996-07-22,56000
